,loss,mae,mse,root_mean_squared_error,val_loss,val_mae,val_mse,val_root_mean_squared_error
395,0.004164119251072407,0.049105316400527954,0.004164119251072407,0.06452999264001846,0.004334321711212397,0.04478562995791435,0.004334321711212397,0.06583556532859802
396,0.0041983588598668575,0.04799552261829376,0.0041983588598668575,0.06479474157094955,0.0039598532021045685,0.03953113406896591,0.0039598532021045685,0.06292736530303955
397,0.004059446509927511,0.047843702137470245,0.004059446509927511,0.06371378898620605,0.004446282517164946,0.04607510566711426,0.004446282517164946,0.06668045371770859
398,0.004165638238191605,0.0490911565721035,0.004165638238191605,0.064541757106781,0.004087002482265234,0.041373759508132935,0.004087002482265234,0.06392966955900192
399,0.004085481632500887,0.04763052240014076,0.004085481632500887,0.06391777098178864,0.004107515327632427,0.04173087701201439,0.004107515327632427,0.06408990174531937
400,0.004150351043790579,0.04905875027179718,0.004150351043790579,0.06442321836948395,0.0042876433581113815,0.04417319968342781,0.0042876433581113815,0.06548009812831879
401,0.004065520595759153,0.047648247331380844,0.004065520595759153,0.06376143544912338,0.003979275934398174,0.03991541638970375,0.003979275934398174,0.06308150291442871
402,0.004103403072804213,0.04752308875322342,0.004103403072804213,0.06405781209468842,0.004246881697326899,0.043636467307806015,0.004246881697326899,0.0651681050658226
403,0.004061375744640827,0.04822305217385292,0.004061375744640827,0.063728928565979,0.004151007626205683,0.04234718903899193,0.004151007626205683,0.06442831456661224
404,0.004063923377543688,0.04760359972715378,0.004063923377543688,0.06374891102313995,0.00405987398698926,0.040973395109176636,0.00405987398698926,0.06371714174747467
405,0.0040700677782297134,0.04769238829612732,0.0040700677782297134,0.06379708647727966,0.004200656898319721,0.043039172887802124,0.004200656898319721,0.06481248140335083
406,0.00405522994697094,0.04802340269088745,0.00405522994697094,0.06368068605661392,0.004176299087703228,0.04272114858031273,0.004176299087703228,0.06462429463863373
407,0.0040575722232460976,0.047805655747652054,0.0040575722232460976,0.06369907408952713,0.00408584251999855,0.041379012167453766,0.00408584251999855,0.06392059475183487
408,0.004069225862622261,0.0479201041162014,0.004069225862622261,0.06379048526287079,0.004124003928154707,0.041967298835515976,0.004124003928154707,0.06421840935945511
409,0.004047385882586241,0.047773577272892,0.004047385882586241,0.06361906975507736,0.004179081413894892,0.04272830858826637,0.004179081413894892,0.06464581191539764
410,0.004046743270009756,0.047731488943099976,0.004046743270009756,0.06361401826143265,0.004113988485187292,0.04182590916752815,0.004113988485187292,0.06414037942886353
411,0.004066524561494589,0.0476737879216671,0.004066524561494589,0.06376931071281433,0.004109794273972511,0.041752204298973083,0.004109794273972511,0.06410767883062363
412,0.004208670463413,0.049639150500297546,0.004208670463413,0.06487426906824112,0.004261495545506477,0.043893761932849884,0.004261495545506477,0.06528013199567795
413,0.004063483793288469,0.04746995121240616,0.004063483793288469,0.06374546140432358,0.003978601656854153,0.039900075644254684,0.003978601656854153,0.06307616084814072
414,0.0040679615922272205,0.04735158756375313,0.0040679615922272205,0.06378057599067688,0.00420091999694705,0.04310418665409088,0.00420091999694705,0.0648145079612732
415,0.004087674431502819,0.04861699417233467,0.004087674431502819,0.06393492221832275,0.004183027893304825,0.042844176292419434,0.004183027893304825,0.06467632949352264
416,0.004042513202875853,0.04763020947575569,0.004042513202875853,0.06358075886964798,0.0040321750566363335,0.040736857801675797,0.0040321750566363335,0.06349941343069077
417,0.00406607985496521,0.04743707925081253,0.00406607985496521,0.06376582384109497,0.004143696743994951,0.04227207973599434,0.004143696743994951,0.06437154859304428
418,0.004073816817253828,0.04828297719359398,0.004073816817253828,0.06382645666599274,0.004219538066536188,0.04329283908009529,0.004219538066536188,0.06495796889066696
419,0.0040456373244524,0.047763191163539886,0.0040456373244524,0.06360532343387604,0.004069153685122728,0.041148196905851364,0.004069153685122728,0.06378991901874542
420,0.004068625159561634,0.0476178340613842,0.004068625159561634,0.06378577649593353,0.004165513440966606,0.042574118822813034,0.004165513440966606,0.0645407885313034
421,0.004046196583658457,0.04771643504500389,0.004046196583658457,0.06360971927642822,0.004140894860029221,0.04224212095141411,0.004140894860029221,0.06434978544712067
422,0.004044537898153067,0.047712020576000214,0.004044537898153067,0.0635966807603836,0.004124745726585388,0.04201006889343262,0.004124745726585388,0.06422418355941772
