TEMPO,POTENCIA(K+1),POTENCIA(K+2)
2012-03-18,22.8999996185303,22.8999996185303
2010-09-05,18.3999996185303,19.7000007629395
2010-07-18,18.7000007629395,18.2000007629395
2013-10-20,20.7000007629395,19.6000003814697
2008-03-30,17.0268415651823,16.3999996185303
2009-06-07,19.0,19.2999992370605
2013-04-21,20.0,19.5
2009-04-26,16.2999992370605,16.7999992370605
2008-12-07,15.8999996185303,16.2999992370605
2012-11-04,21.6000003814697,22.2999992370605
2011-01-30,22.2000007629395,23.2000007629395
2008-11-09,16.7000007629395,16.6000003814697
2010-06-13,19.2000007629395,20.6000003814697
2013-07-07,17.2000007629395,17.5
2012-03-25,22.8999996185303,23.3999996185303
2011-01-09,21.7000007629395,21.7999992370605
2008-07-13,13.5,14.0
2013-03-24,21.7000007629395,22.0
2010-03-14,22.7999992370605,22.8999996185303
2009-08-23,19.2000007629395,19.0
2012-08-12,19.5,19.2999992370605
2012-01-22,21.5,22.2000007629395
2012-02-26,23.3999996185303,23.3999996185303
2008-11-02,16.2999992370605,16.7000007629395
2012-12-09,22.2000007629395,19.7999992370605
2013-10-27,19.6000003814697,20.0
2013-03-31,22.0,22.0
2011-11-27,22.6000003814697,23.3999996185303
2008-05-11,15.1999998092651,15.6999998092651
2008-12-28,15.1789475240205,16.2999992370605
2009-11-22,21.0,21.2999992370605
2013-04-14,21.8999996185303,20.0
2012-06-10,19.2000007629395,20.6000003814697
2013-06-23,17.7999992370605,18.7999992370605
2011-12-11,23.3999996185303,22.7000007629395
2011-03-06,23.0,23.8999996185303
2008-11-30,16.8999996185303,15.8999996185303
2012-04-01,23.3999996185303,23.0
2011-09-25,21.0,21.2999992370605
2010-02-07,22.5,21.4588140294453
2009-02-08,16.7999992370605,16.8999996185303
2008-02-10,16.7000007629395,17.0
2009-01-11,16.0,16.1000003814697
2009-08-16,19.2000007629395,19.2000007629395
2012-01-08,20.2999992370605,20.3999996185303
2008-09-28,15.3999996185303,14.6999998092651
2013-02-17,22.8999996185303,23.0
2009-11-01,20.8999996185303,21.0
2009-02-01,16.5,16.7999992370605
2013-02-24,23.0,23.0
2012-09-16,19.6000003814697,19.2000007629395
2008-05-04,16.7999992370605,15.1999998092651
2009-10-11,21.0,20.5
2011-04-10,22.0,19.6000003814697
2013-11-17,20.3999996185303,20.7000007629395
2010-08-29,19.2999992370605,18.3999996185303
2013-09-29,19.3999996185303,20.2000007629395
2012-09-30,19.7999992370605,20.5
2009-02-15,16.8999996185303,15.8000001907349
2009-01-18,16.1000003814697,16.7000007629395
2011-06-05,20.2999992370605,19.8999996185303
2011-09-18,19.6000003814697,21.0
2013-12-15,20.6000003814697,23.5
2011-09-04,19.7999992370605,20.2000007629395
2011-05-01,20.3999996185303,19.8999996185303
2009-03-15,17.2000007629395,18.1000003814697
2009-01-04,16.2999992370605,16.0
2012-08-05,18.6000003814697,19.5
2012-12-02,22.7000007629395,22.2000007629395
2008-06-29,12.8999996185303,13.6000003814697
2011-02-27,23.0,23.0
2013-05-19,20.1000003814697,20.1000003814697
2011-10-02,21.2999992370605,21.7000007629395
2013-01-06,21.7000007629395,21.7999992370605
2010-12-12,22.2000007629395,19.7999992370605
2010-08-01,18.5,18.6000003814697
2010-12-26,19.2000007629395,19.7999992370605
2009-12-27,18.5,20.6000003814697
2009-10-04,20.3999996185303,21.0
2012-03-11,22.7999992370605,22.8999996185303
2010-05-30,21.7999992370605,21.5
2013-12-22,23.5,16.2999992370605
2008-06-22,13.3000001907349,12.8999996185303
2011-09-11,20.2000007629395,19.6000003814697
2009-06-14,19.2999992370605,16.8999996185303
2010-02-14,21.4588140294453,22.8999996185303
2013-04-07,22.0,21.8999996185303
2010-01-17,20.3999996185303,21.5
