Time,Frequencia CMB,Untitled 1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,
20/03/2024 14:15:24,50,0,"-0,437521","-0,324761","-0,478443","-0,939634","8,420103","5,55836","3,244577","3,090773","-8,671852","0,963065","4434,442358"
20/03/2024 14:15:24,50,0,"-0,468914","-0,316963","-0,352342","-0,950037","8,558596","5,610953","3,235353","3,094606","-8,65063","0,96695","4871,292422"
20/03/2024 14:15:24,50,0,"-0,471228","-0,313261","-0,447797","-0,939246","8,554602","5,731708","3,230639","3,092193","-8,654836","0,949517","4807,808114"
20/03/2024 14:15:24,50,0,"-0,448706","-0,327676","-0,408708","-0,954974","8,35247","5,583688","3,24851","3,078529","-8,672687","0,943545","4879,400985"
20/03/2024 14:15:24,50,0,"-0,471228","-0,311843","-0,490639","-0,967987","8,591181","5,757312","3,228401","3,072922","-8,640004","0,915806","4920,146444"
20/03/2024 14:15:25,50,0,"-0,440684","-0,325313","-0,40433","-0,928878","8,486837","5,590054","3,243356","3,091377","-8,668898","0,978347","4856,822257"
20/03/2024 14:15:25,50,0,"-0,484958","-0,365327","-0,430754","-0,948344","8,620071","5,813746","3,229214","3,082398","-8,641962","0,946756","4381,883216"
20/03/2024 14:15:25,50,0,"-0,476396","-0,345871","-0,418324","-0,938047","8,561092","5,750773","3,237726","3,080836","-8,639233","0,918535","4886,3782"
20/03/2024 14:15:25,50,0,"-0,451945","-0,324289","-0,450142","-0,938012","8,552239","5,453279","3,245594","3,096239","-8,667742","0,952438","4362,832898"
20/03/2024 14:15:25,50,0,"-0,439064","-0,317042","-0,464918","-0,964496","8,389382","5,516529","3,237184","3,081475","-8,653295","0,892723","4231,778508"
20/03/2024 14:15:25,50,0,"-0,475779","-0,319011","-0,533402","-0,965095","8,750111","5,89305","3,234166","3,088715","-8,644402","0,949099","4966,581233"
20/03/2024 14:15:26,50,0,"-0,464286","-0,289473","-0,387522","-0,961286","8,391346","5,546216","3,237828","3,070651","-8,636825","0,930575","4244,983139"
20/03/2024 14:15:26,50,0,"-0,412144","-0,294751","-0,463042","-0,963825","8,654753","5,815614","3,226569","3,090418","-8,689317","1,00538","3791,670344"
20/03/2024 14:15:26,50,0,"-0,439527","-0,336577","-0,436149","-0,928244","8,431586","5,456116","3,236913","3,090454","-8,62989","0,961845","4170,958256"
20/03/2024 14:15:26,50,0,"-0,490897","-0,355008","-0,522848","-0,984385","8,575005","5,670569","3,234437","3,091518","-8,667486","0,933047","4942,67258"
20/03/2024 14:15:26,50,0,"-0,40204","-0,337443","-0,514014","-0,939105","8,538127","5,976437","3,242305","3,10181","-8,656217","0,928584","3858,873302"
20/03/2024 14:15:26,50,0,"-0,477785","-0,31334","-0,438963","-0,944536","8,520353","5,47532","3,22172","3,079026","-8,631046","0,952149","3846,869816"
20/03/2024 14:15:26,50,0,"-0,444078","-0,324604","-0,476332","-0,941679","8,714064","5,561474","3,226705","3,089176","-8,678658","0,940271","3898,943906"
20/03/2024 14:15:27,50,0,"-0,45611","-0,291836","-0,548959","-0,942349","8,467033","5,54888","3,240439","3,067173","-8,648062","0,950833","4203,620878"
20/03/2024 14:15:27,50,0,"-0,45102","-0,310583","-0,496267","-0,947181","8,650293","5,497222","3,230367","3,090489","-8,656506","0,922356","5000,669414"
20/03/2024 14:15:27,50,0,"-0,484881","-0,329172","-0,540829","-0,946017","8,568382","5,612233","3,240982","3,08797","-8,65612","0,916705","4260,62378"
20/03/2024 14:15:27,50,0,"-0,51342","-0,317357","-0,420122","-0,94443","8,561791","5,682956","3,217752","3,08765","-8,628414","0,902001","3845,968932"
20/03/2024 14:15:27,50,0,"-0,45935","-0,348234","-0,482195","-0,935825","8,477517","5,858588","3,238472","3,089318","-8,641416","0,934459","3686,312124"
20/03/2024 14:15:27,50,0,"-0,475162","-0,368242","-0,422936","-0,952118","8,415243","5,683441","3,249799","3,071999","-8,621671","0,983741","3731,839185"
20/03/2024 14:15:27,50,0,"-0,443692","-0,344296","-0,446077","-0,94316","8,739194","5,714789","3,235285","3,095209","-8,627258","0,955874","4980,095015"
20/03/2024 14:15:28,50,0,"-0,500925","-0,371235","-0,398389","-0,949967","8,423032","5,777519","3,228163","3,089638","-8,645815","0,955713","3714,222347"
20/03/2024 14:15:28,50,0,"-0,461124","-0,319248","-0,413868","-0,94249","8,441071","5,4502","3,238235","3,090773","-8,627033","0,956098","3743,659267"
20/03/2024 14:15:28,50,0,"-0,420398","-0,347683","-0,50518","-0,94972","8,575704","5,711536","3,233148","3,088218","-8,638398","0,913206","3762,913703"
20/03/2024 14:15:28,50,0,"-0,432816","-0,363673","-0,436852","-0,93438","8,648562","5,751223","3,243525","3,088076","-8,644241","0,939853","3341,139918"
20/03/2024 14:15:28,50,0,"-0,488506","-0,348628","-0,499707","-0,925458","8,507839","5,667213","3,229316","3,089744","-8,680135","0,915453","5400,413648"
20/03/2024 14:15:28,50,0,"-0,44778","-0,341539","-0,483446","-0,971901","8,493061","5,695482","3,223144","3,098687","-8,673232","0,924057","3763,090068"
20/03/2024 14:15:29,50,0,"-0,473234","-0,324446","-0,553885","-0,93237","8,56279","5,550125","3,235115","3,08655","-8,631335","0,971381","3718,139598"
20/03/2024 14:15:29,50,0,"-0,479405","-0,29609","-0,452253","-0,939493","8,469762","5,53549","3,252071","3,09269","-8,65368","0,943224","3704,750965"
20/03/2024 14:15:29,50,0,"-0,443538","-0,334135","-0,478834","-0,950425","8,55397","5,981696","3,239049","3,100959","-8,648447","0,909835","3775,539813"
20/03/2024 14:15:29,50,0,"-0,425951","-0,343666","-0,418949","-0,942667","8,548977","5,628945","3,234539","3,049606","-8,670825","0,965794","3906,989395"
20/03/2024 14:15:29,50,0,"-0,448243","-0,317121","-0,482352","-0,965024","8,441504","5,486253","3,235556","3,093364","-8,636857","1,021304","3738,401107"
20/03/2024 14:15:29,50,0,"-0,437907","-0,283093","-0,557793","-0,950178","8,458812","5,684271","3,237319","3,090915","-8,662862","0,944541","3929,660433"
20/03/2024 14:15:29,50,0,"-0,500693","-0,322004","-0,538405","-0,946228","8,624698","5,836928","3,223382","3,084669","-8,635701","0,984897","3716,136981"
20/03/2024 14:15:30,50,0,"-0,498611","-0,326573","-0,407379","-0,935825","8,543352","5,6441","3,232911","3,093612","-8,658496","0,931377","5299,904589"
20/03/2024 14:15:30,50,0,"-0,454799","-0,323659","-0,47899","-0,942878","8,646365","5,591196","3,232572","3,095422","-8,634706","0,942486","4974,149121"
20/03/2024 14:15:30,50,0,"-0,488352","-0,322004","-0,492749","-0,943584","8,536562","5,584276","3,225179","3,089283","-8,657982","0,9578","3751,208575"
20/03/2024 14:15:30,50,0,"-0,443306","-0,329802","-0,545441","-0,940234","8,277815","5,653511","3,246917","3,089815","-8,684405","0,938601","3901,593298"
20/03/2024 14:15:30,50,0,"-0,454105","-0,326258","-0,462495","-0,951024","8,677519","5,670293","3,206154","3,054255","-8,635573","0,999537","4920,261775"
20/03/2024 14:15:30,50,0,"-0,460816","-0,312001","-0,406675","-0,947145","8,779101","5,792086","3,196896","3,086585","-8,665591","0,989327","3471,58687"
20/03/2024 14:15:30,50,0,"-0,422789","-0,307275","-0,457022","-0,95508","8,67652","5,730601","3,235827","3,096984","-8,635766","0,989584","3804,214633"
20/03/2024 14:15:31,50,0,"-0,480407","-0,339491","-0,480241","-0,95716","8,451389","5,45795","3,232979","3,099681","-8,671852","0,901231","4330,758543"
20/03/2024 14:15:31,50,0,"-0,445235","-0,31972","-0,451081","-0,942843","8,790683","5,582062","3,224433","3,08946","-8,654579","0,963001","3491,159289"
20/03/2024 14:15:31,50,0,"-0,463824","-0,316333","-0,543174","-0,944359","8,638643","5,811704","3,208121","3,073987","-8,663601","0,954108","5005,474538"
20/03/2024 14:15:31,50,0,"-0,443615","-0,319011","-0,391118","-0,93579","8,753406","5,735583","3,225247","3,088218","-8,65917","0,919306","3563,037844"
20/03/2024 14:15:31,50,0,"-0,480716","-0,29672","-0,407926","-0,950178","8,666835","5,618115","3,237964","3,093399","-8,655735","0,914907","3865,115777"
20/03/2024 14:15:31,50,0,"-0,465675","-0,32933","-0,404956","-0,945065","8,723251","5,754925","3,234607","3,106459","-8,654483","0,95658","3798,960552"
20/03/2024 14:15:32,50,0,"-0,457113","-0,314679","-0,498144","-0,940692","8,522583","5,578186","3,242474","3,091838","-8,644498","0,943353","4479,859517"
20/03/2024 14:15:32,50,0,"-0,499536","-0,292151","-0,476645","-0,942244","8,572975","5,776273","3,238574","3,098936","-8,656666","0,977127","3907,080895"
20/03/2024 14:15:32,50,0,"-0,445235","-0,319405","-0,481804","-0,941327","8,74605","5,391898","3,230741","3,08474","-8,648608","0,941715","3781,381365"
20/03/2024 14:15:32,50,0,"-0,505707","-0,291757","-0,529571","-0,951836","8,512964","5,69562","3,233827","3,071893","-8,679332","0,937188","5034,165382"
20/03/2024 14:15:32,50,0,"-0,480099","-0,314285","-0,416291","-0,944818","8,64996","5,453452","3,228875","3,0989","-8,64986","0,908551","3781,469845"
20/03/2024 14:15:32,50,0,"-0,437753","-0,297507","-0,474534","-0,937377","8,661643","5,617043","3,233759","3,091341","-8,671948","1,007884","3864,029517"
20/03/2024 14:15:32,50,0,"-0,413147","-0,337207","-0,494547","-0,935649","8,58306","5,76963","3,221991","3,059791","-8,657148","0,993662","4281,233497"
20/03/2024 14:15:33,50,0,"-0,443383","-0,32547","-0,540751","-0,936707","8,68787","5,605071","3,219278","3,089602","-8,641994","0,937542","3765,117956"
20/03/2024 14:15:33,50,0,"-0,482721","-0,295381","-0,491499","-0,971513","8,555634","5,764959","3,235522","3,085769","-8,649089","0,977769","4300,934809"
20/03/2024 14:15:33,50,0,"-0,485961","-0,330118","-0,408708","-0,975886","8,636447","5,450615","3,219719","3,091731","-8,633037","0,953626","3704,403821"
20/03/2024 14:15:33,50,0,"-0,471923","-0,307196","-0,458664","-0,930395","8,585789","5,787173","3,225043","3,095955","-8,652268","0,948554","4875,859128"
20/03/2024 14:15:33,50,0,"-0,470303","-0,322635","-0,464918","-0,953599","8,640308","5,620295","3,25709","3,087118","-8,662028","0,923126","3797,892893"
20/03/2024 14:15:33,50,0,"-0,430194","-0,351149","-0,507838","-0,930853","8,514362","5,788833","3,230978","3,082966","-8,637981","0,945215","4967,628304"
20/03/2024 14:15:33,50,0,"-0,430965","-0,31271","-0,413321","-0,9524","8,604261","5,68043","3,224026","3,088857","-8,668096","0,931923","4761,631253"
20/03/2024 14:15:34,50,0,"-0,487041","-0,314128","-0,447719","-0,953387","8,735832","5,891008","3,245865","3,100462","-8,677246","1,018607","3807,780794"
20/03/2024 14:15:34,50,0,"-0,467989","-0,315624","-0,429425","-0,959488","8,511699","5,590504","3,220703","3,09088","-8,648415","0,957029","4976,713191"
20/03/2024 14:15:34,50,0,"-0,501928","-0,316806","-0,438025","-0,938964","8,685806","5,621195","3,220262","3,077536","-8,637531","0,961942","3764,059868"
20/03/2024 14:15:34,50,0,"-0,475702","-0,319169","-0,552165","-0,950425","8,56046","5,62552","3,227248","3,093612","-8,641545","0,944252","5459,303674"
20/03/2024 14:15:34,50,0,"-0,443692","-0,303258","-0,490404","-0,953422","8,622068","5,608773","3,228841","3,095032","-8,648383","0,918182","3805,284216"
20/03/2024 14:15:34,50,0,"-0,470457","-0,340909","-0,426298","-0,943901","8,38369","5,616558","3,25275","3,098261","-8,654676","1,018768","4825,748744"
20/03/2024 14:15:35,50,0,"-0,444849","-0,341933","-0,455146","-0,942455","8,540157","5,55971","3,211004","3,094393","-8,667197","0,884215","3951,722615"
20/03/2024 14:15:35,50,0,"-0,457036","-0,339097","-0,465934","-0,935367","8,717659","5,468676","3,227722","3,060643","-8,650983","0,936065","3870,733379"
20/03/2024 14:15:35,50,0,"-0,507558","-0,295223","-0,380017","-0,954657","8,822136","5,630468","3,218295","3,083782","-8,651176","0,936675","4245,679527"
20/03/2024 14:15:35,50,0,"-0,477091","-0,301682","-0,464918","-0,954692","8,839344","5,741362","3,236302","3,087863","-8,671081","0,976774","3932,883656"
20/03/2024 14:15:35,50,0,"-0,450557","-0,345162","-0,38588","-0,95515","8,808191","5,629014","3,224263","3,096984","-8,668417","0,929098","3808,851318"
