Time,Frequencia CMB,Untitled 1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,Untitled 12
20/03/2024 12:57:46,38,0,"-0,486809","-0,354772","-0,521519","-0,857009","6,420718","3,88661","3,201746","3,060962","-8,672687","0,896832","4039,701031"
20/03/2024 12:57:46,38,0,"-0,49622","-0,374307","-0,507603","-0,874324","6,465385","3,926677","3,210291","3,06405","-8,656634","0,930157","3973,907276"
20/03/2024 12:57:47,38,0,"-0,486655","-0,338703","-0,485479","-0,940269","6,364968","3,88308","3,204187","3,061388","-8,650534","0,929612","4050,692867"
20/03/2024 12:57:47,38,0,"-0,497917","-0,324525","-0,434741","-0,902888","6,344665","3,981968","3,205442","3,070473","-8,645654","0,923801","4786,90472"
20/03/2024 12:57:47,38,0,"-0,449323","-0,334371","-0,389476","-0,892909","6,487951","4,072483","3,219651","3,040095","-8,659588","0,897538","3971,860006"
20/03/2024 12:57:47,38,0,"-0,504087","-0,31397","-0,504554","-0,889029","6,388932","4,03937","3,194828","3,070828","-8,635894","0,916641","4000,338863"
20/03/2024 12:57:47,38,0,"-0,462281","-0,333347","-0,536998","-0,910259","6,344199","3,940413","3,212191","3,077465","-8,639522","0,919242","4684,297635"
20/03/2024 12:57:47,38,0,"-0,490126","-0,281202","-0,488528","-0,917276","6,468913","3,97145","3,209342","3,065044","-8,649314","0,901744","4034,972238"
20/03/2024 12:57:47,38,0,"-0,507404","-0,321532","-0,482977","-0,933992","6,347195","3,936157","3,193573","3,070828","-8,659684","0,896672","4009,438829"
20/03/2024 12:57:48,38,0,"-0,469377","-0,331142","-0,503616","-0,911951","6,318171","3,888513","3,199914","3,081582","-8,677727","0,90534","4337,559921"
20/03/2024 12:57:48,38,0,"-0,445312","-0,317121","-0,401281","-0,843574","6,434032","3,943216","3,192081","3,049925","-8,649956","0,885884","4003,619854"
20/03/2024 12:57:48,38,0,"-0,454259","-0,307984","-0,418715","-0,855387","6,493776","4,084524","3,210359","3,069622","-8,657212","0,890732","4724,63114"
20/03/2024 12:57:48,38,0,"-0,509255","-0,339176","-0,528789","-0,900032","6,360675","3,965464","3,209444","3,077216","-8,659299","0,915357","4901,279355"
20/03/2024 12:57:48,38,0,"-0,441147","-0,342878","-0,585312","-0,929231","6,347361","3,878686","3,191131","3,069089","-8,648415","0,89985","4661,747704"
20/03/2024 12:57:48,38,0,"-0,48195","-0,334056","-0,514092","-0,910082","6,359177","3,92986","3,203204","3,067705","-8,675448","0,907234","4032,137656"
20/03/2024 12:57:48,38,0,"-0,513729","-0,356269","-0,455068","-0,921649","6,402379","3,930587","3,20473","3,075087","-8,653809","0,864534","4303,049946"
20/03/2024 12:57:49,38,0,"-0,475625","-0,340673","-0,572569","-0,845478","6,387867","3,873531","3,198761","3,074058","-8,631303","0,929419","5117,151792"
20/03/2024 12:57:49,38,0,"-0,448089","-0,319641","-0,431458","-0,947427","6,414028","3,9082","3,199406","3,080197","-8,667935","0,943866","4033,838268"
20/03/2024 12:57:49,38,0,"-0,470689","-0,32098","-0,512137","-0,891392","6,373822","4,033626","3,18245","3,073313","-8,645526","0,868034","3980,52214"
20/03/2024 12:57:49,38,0,"-0,442381","-0,321374","-0,483603","-0,888324","6,436794","3,926988","3,208121","3,07026","-8,64376","0,908165","4315,87051"
20/03/2024 12:57:49,38,0,"-0,460893","-0,348077","-0,504945","-0,890228","6,409502","3,95889","3,194997","3,07026","-8,63461","0,917187","4043,582593"
20/03/2024 12:57:49,38,0,"-0,509718","-0,324131","-0,465153","-0,862616","6,362772","4,027952","3,203102","3,064121","-8,667036","0,908294","4658,036533"
20/03/2024 12:57:50,38,0,"-0,492749","-0,331063","-0,381189","-0,919181","6,408237","3,974875","3,197507","3,068912","-8,657501","0,890925","3937,491495"
20/03/2024 12:57:50,38,0,"-0,494754","-0,33122","-0,505883","-0,966893","6,440988","3,903149","3,208019","3,074484","-8,665431","0,879335","4465,400328"
20/03/2024 12:57:50,38,0,"-0,47925","-0,37344","-0,410506","-0,929936","6,428507","3,852044","3,200932","3,055958","-8,640036","0,884343","4363,240481"
20/03/2024 12:57:50,38,0,"-0,498534","-0,312316","-0,396669","-0,932123","6,399583","3,908096","3,204798","3,074271","-8,684951","0,939404","3979,030488"
20/03/2024 12:57:50,38,0,"-0,458656","-0,338861","-0,490248","-0,845866","6,42408","3,988646","3,204628","3,074058","-8,65673","0,933753","4024,494306"
20/03/2024 12:57:50,38,0,"-0,51504","-0,350676","-0,45069","-0,911176","6,414594","3,914428","3,197574","3,068805","-8,652942","0,945054","3997,247762"
20/03/2024 12:57:50,38,0,"-0,463361","-0,303179","-0,585234","-0,86639","6,330819","3,957886","3,203441","3,074697","-8,627547","0,888934","4371,527312"
20/03/2024 12:57:51,38,0,"-0,442766","-0,322083","-0,487746","-0,92447","6,391828","3,894498","3,189842","3,06295","-8,659395","0,887971","4032,232153"
20/03/2024 12:57:51,38,0,"-0,504473","-0,309559","-0,376421","-0,952788","6,339373","3,868825","3,197473","3,075619","-8,650502","0,854293","4325,789568"
20/03/2024 12:57:51,38,0,"-0,512109","-0,337679","-0,461713","-0,941186","6,390497","3,909342","3,188961","3,065824","-8,637467","0,924507","3922,026487"
