Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12
20/03/2024 09:58:02,35,0,"0,569916","0,746726","-0,421529","0,364976","4,007985","2,284475","3,074677","2,942038","-8,646136","0,837919","4342,134106"
20/03/2024 09:58:02,35,0,"0,560429","0,752004","-0,626434","0,274276","4,101246","2,361911","3,078305","2,95194","-8,64986","0,833328","4000,619151"
20/03/2024 09:58:02,35,0,"0,573927","0,743891","-0,44639","0,214009","4,087566","2,322086","3,046564","2,952046","-8,649635","0,809153","4013,102519"
20/03/2024 09:58:02,35,0,"0,560198","0,724199","-0,516828","0,254175","4,077981","2,423257","3,069488","2,935402","-8,664211","0,863089","4016,017771"
20/03/2024 09:58:02,35,0,"0,607017","0,742394","-0,437634","0,377107","4,061039","2,371391","3,071862","2,948568","-8,646681","0,831851","4028,360498"
20/03/2024 09:58:02,35,0,"0,592748","0,750429","-0,43779","0,441113","3,928504","2,433741","3,077085","2,935721","-8,67442","0,84007","4326,903765"
20/03/2024 09:58:03,35,0,"0,579095","0,764843","-0,426298","0,423868","4,065066","2,370215","3,075932","2,945871","-8,673361","0,886687","4025,530585"
20/03/2024 09:58:03,35,0,"0,499956","0,749483","-0,447484","0,319591","4,068561","2,406061","3,078475","2,946155","-8,667935","0,858787","4295,999361"
20/03/2024 09:58:03,35,0,"0,615579","0,76248","-0,517375","0,248357","4,000762","2,376097","3,059179","2,952756","-8,640453","0,822926","4007,090671"
20/03/2024 09:58:03,35,0,"0,58326","0,751768","-0,3833","0,238588","4,090229","2,309526","3,041816","2,944274","-8,663922","0,857246","3987,89436"
20/03/2024 09:58:03,35,0,"0,546853","0,752398","-0,428487","0,334473","4,039971","2,22517","3,057619","2,93416","-8,6523","0,855192","4010,659097"
20/03/2024 09:58:03,35,0,"0,614962","0,74775","-0,450533","0,425067","3,981891","2,147181","3,07349","2,941009","-8,658239","0,838946","4010,565146"
20/03/2024 09:58:04,35,0,"0,542765","0,789025","-0,448579","0,442488","4,063469","2,217835","3,080035","2,941861","-8,678112","0,858242","3876,538556"
20/03/2024 09:58:04,35,0,"0,520937","0,740976","-0,493218","0,374956","4,028055","2,331947","3,0741","2,945445","-8,654643","0,7896","4320,624185"
20/03/2024 09:58:04,35,0,"0,61743","0,791546","-0,438338","0,248992","4,081575","2,321705","3,075932","2,952756","-8,643182","0,877954","3845,15611"
20/03/2024 09:58:04,35,0,"0,550247","0,741606","-0,380877","0,237566","3,982889","2,379557","3,065894","2,935544","-8,691147","0,807162","4338,982137"
20/03/2024 09:58:04,35,0,"0,571768","0,756415","-0,392525","0,27216","4,038107","2,312467","3,06959","2,945871","-8,658592","0,921168","4028,549245"
20/03/2024 09:58:04,35,0,"0,515306","0,735935","-0,383691","0,376085","4,099515","2,209012","3,043715","2,933166","-8,685208","0,905629","4043,392336"
20/03/2024 09:58:04,35,0,"0,54076","0,756179","-0,465309","0,44746","3,992342","2,3243","3,069522","2,949881","-8,633005","0,879046","3974,744323"
20/03/2024 09:58:05,35,0,"0,545774","0,762165","-0,377124","0,435999","4,014475","2,328037","3,068708","2,954921","-8,648094","0,884247","3873,81529"
20/03/2024 09:58:05,35,0,"0,531118","0,700411","-0,465465","0,309788","4,030218","2,292502","3,072473","2,914889","-8,634578","0,79509","4298,012505"
20/03/2024 09:58:05,35,0,"0,587194","0,755548","-0,515499","0,224976","4,116689","2,273334","3,069963","2,940973","-8,703989","0,85914","3973,813405"
20/03/2024 09:58:05,35,0,"0,578015","0,76185","-0,406597","0,214997","4,101046","2,320736","3,069285","2,95744","-8,648897","0,82787","4030,248187"
20/03/2024 09:58:05,35,0,"0,568219","0,79257","-0,500176","0,322412","4,012212","2,190881","3,071828","2,945232","-8,639875","0,806167","4289,764609"
20/03/2024 09:58:05,35,0,"0,558038","0,72601","-0,387053","0,452256","4,070691","2,063863","3,067691","2,944026","-8,646746","0,845656","4008,311016"
20/03/2024 09:58:05,35,0,"0,532661","0,765788","-0,444279","0,460402","4,039371","2,20659","3,078814","2,943174","-8,63416","0,800163","4043,676433"
20/03/2024 09:58:06,35,0,"0,563823","0,741685","-0,422389","0,37672","4,02699","2,316792","3,076339","2,955382","-8,644755","0,789697","4025,530573"
20/03/2024 09:58:06,35,0,"0,508055","0,779809","-0,502209","0,256538","4,026025","2,49398","3,069319","2,948284","-8,649218","0,854678","4110,432547"
20/03/2024 09:58:06,35,0,"0,553641","0,787056","-0,465856","0,206745","4,019301","2,37883","3,07271","2,963864","-8,649507","0,851788","4023,362307"
20/03/2024 09:58:06,35,0,"0,585806","0,745624","-0,479537","0,278578","4,037374","2,29008","3,075626","2,945268","-8,639329","0,86142","3937,951824"
20/03/2024 09:58:06,35,0,"0,578632","0,783826","-0,37689","0,398548","4,102078","2,410109","3,077966","2,934585","-8,640004","0,852655","4083,656334"
20/03/2024 09:58:06,35,0,"0,559658","0,771381","-0,390258","0,450352","3,983888","2,390594","3,058196","2,9436","-8,6645","0,889641","4024,116345"
20/03/2024 09:58:07,35,0,"0,601464","0,768466","-0,427236","0,402815","4,055115","2,263577","3,072879","2,946794","-8,691661","0,890347","4306,074489"
20/03/2024 09:58:07,35,0,"0,562743","0,69663","-0,375561","0,297374","4,150239","2,256691","3,069929","2,935331","-8,662927","0,820261","3896,567747"
20/03/2024 09:58:07,35,0,"0,559349","0,745466","-0,384707","0,228997","4,036509","2,325961","3,067081","2,940831","-8,631014","0,819747","4302,243138"
20/03/2024 09:58:07,35,0,"0,564671","0,721914","-0,445921","0,233158","4,094489","2,249771","3,070099","2,95414","-8,635958","0,835639","3877,355895"
20/03/2024 09:58:07,35,0,"0,472343","0,726325","-0,514248","0,362966","4,049257","2,387999","3,074236","2,950059","-8,67991","0,830214","4504,903371"
20/03/2024 09:58:07,35,0,"0,557575","0,755076","-0,426845","0,422211","4,033181","2,234062","3,064639","2,941683","-8,62851","0,873909","4063,046126"
20/03/2024 09:58:07,35,0,"0,557498","0,765158","-0,412695","0,405178","4,06926","2,128774","3,0702","2,950094","-8,649731","0,859526","4036,767619"
20/03/2024 09:58:08,35,0,"0,580946","0,758857","-0,430129","0,365929","4,049623","2,21216","3,070913","2,930824","-8,64315","0,849573","3892,097782"
20/03/2024 09:58:08,35,0,"0,559272","0,731918","-0,47125","0,250755","4,029686","2,331878","3,084647","2,955311","-8,645172","0,885595","4350,075075"
