Frequencia CMB,Angulo CV-1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,desconhecida
40.0,0.0,0.47045898,0.7631836,-0.4885254,-0.95947266,6.7695312,4.1289062,3.0878906,2.9570312,-8.6640625,0.85498047,4776.0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
40.0,0.0,0.5696289,0.73759764,-0.4407715,-0.97041017,6.760156,4.158203,3.0992188,2.9703126,-8.651563,0.8580078,3878.4
40.0,0.0,0.5666992,0.7427734,-0.40190428,-0.9767578,6.7851562,4.1578126,3.0894532,2.963672,-8.653125,0.84902346,4521.6
40.0,0.0,0.5822754,0.73445636,-0.42757162,-0.95979816,6.8059897,4.2304688,3.0927734,2.9697266,-8.649739,0.84440106,4054.3333
40.0,0.0,0.552832,0.74912107,-0.46479493,-0.9850586,6.75625,4.165625,3.0929687,2.9601562,-8.653125,0.8576172,4322.8
40.0,0.0,0.5570313,0.74609375,-0.41967773,-0.97138673,6.7921877,4.1804686,3.0945313,2.9683595,-8.659375,0.850293,4285.6
40.0,0.0,0.55525714,0.7412923,-0.41625977,-0.9820964,6.752604,4.171875,3.0947266,2.9641926,-8.666667,0.87597656,4049.6667
40.0,0.0,0.54345703,0.75332034,-0.46923828,-0.9875,6.733594,4.1640625,3.0925782,2.9679687,-8.654688,0.8544922,4101.2
40.0,0.0,0.56503904,0.7277344,-0.42050782,-0.9716797,6.8015623,4.1851563,3.0839844,2.96875,-8.65,0.8381836,4042.4
40.0,0.0,0.54375,0.7519531,-0.4258789,-0.97441405,6.7523437,4.125781,3.0925782,2.960547,-8.65625,0.84160155,4316.0
40.0,0.0,0.5586914,0.7560547,-0.4246582,-0.97919923,6.7429686,4.0746093,3.0957031,2.9640625,-8.654688,0.81591797,4103.6
40.0,0.0,0.56591797,0.7446289,-0.4107422,-0.9763672,6.771875,4.1742187,3.0914063,2.9617188,-8.653125,0.85068357,4322.0
40.0,0.0,0.5595703,0.74482423,-0.4474121,-0.9832031,6.7578125,4.0867186,3.0972657,2.9652343,-8.657812,0.85849607,4060.8
40.0,0.0,0.9927734,0.74482423,-0.42617187,-0.98779297,6.759375,4.1054688,3.103125,2.9648438,-8.651563,0.84658206,4077.6
40.0,0.0,1.9080079,0.75439453,-0.45302734,-0.9932617,6.7226562,4.119531,3.09375,2.963672,-8.659375,0.83671874,4419.6
40.0,0.0,2.833203,0.7464844,-0.45253906,-0.9806641,6.7695312,4.1539063,3.0984375,2.9625,-8.659375,0.8262695,4666.4
40.0,0.0,3.7742188,0.74248046,-0.43125,-0.97128904,6.7453127,4.103125,3.0953126,2.9722657,-8.653125,0.8135742,4239.6
40.0,0.0,4.6679688,0.72558594,-0.46079102,-0.98271483,6.791406,4.1539063,3.08125,2.9675782,-8.651563,0.8475586,4504.8
40.0,0.0,5.692969,0.72861326,-0.48994142,-0.9671875,6.7539062,4.121875,3.083203,2.9621093,-8.64375,0.8364258,4448.8
40.0,0.0,6.782031,0.72929686,-0.4109375,-0.9785156,6.7632813,4.1070313,3.0894532,2.961328,-8.646875,0.85615236,4180.0
40.0,0.0,7.8242188,0.7325195,-0.38676757,-0.962793,6.8085938,4.1835938,3.0773437,2.9570312,-8.646875,0.8179687,4102.8
40.0,0.0,8.846875,0.7486328,-0.4493164,-0.97753906,6.815625,4.157031,3.1,2.9683595,-8.654688,0.83320314,4356.8
