Frequencia CMB,CV-1,PT-2
40.0,0.563394024,6.76863842
40.0,0.563407974,6.768080299999999
40.0,0.560754986,6.766778220000001
40.0,0.563977646,6.764955260000001
40.0,0.563814886,6.76300214
40.0,0.56663064,6.766778240000001
40.0,0.56898602,6.77213544
40.0,0.56921388,6.77395832
40.0,0.5686344459999999,6.770078119999999
40.0,0.562360032,6.7690364
40.0,0.565249032,6.762265600000001
40.0,0.562498372,6.75744792
40.0,0.5643863920000001,6.7577083600000005
40.0,0.562999666,6.767708399999999
40.0,0.56518879,6.76562512
40.0,0.56142902,6.773307319999999
40.0,0.56257486,6.7751562000000005
40.0,0.56348632,6.7652604
40.0,0.568984372,6.758880239999999
40.0,0.573763022,6.761979199999999
40.0,0.576171872,6.75703134
40.0,0.574824212,6.76062514
40.0,0.573359372,6.76960952
40.0,0.56948242,6.779114679999999
40.0,0.5679427100000001,6.786171999999999
40.0,0.5677408899999999,6.78638026
40.0,0.5688151100000001,6.7865364999999995
40.0,0.57200521,6.7904427400000005
40.0,0.56930989,6.779973979999999
40.0,0.5656933599999999,6.779947920000001
40.0,0.562819008,6.77843752
40.0,0.558170574,6.76812508
40.0,0.554723302,6.767239600000001
40.0,0.5529069019999999,6.76645834
40.0,0.553238922,6.756614519999999
40.0,0.555371088,6.76046872
40.0,0.558593742,6.765312419999999
40.0,0.644140614,6.75687496
40.0,0.916992194,6.75093746
40.0,1.371894514,6.75624998
40.0,2.01355468,6.750937520000001
40.0,2.83523438,6.757656220000001
40.0,3.7752735,6.7565624600000005
40.0,4.7500781199999995,6.764687480000001
40.0,5.748281279999999,6.772500000000001
40.0,6.76281252,6.786562460000001
40.0,7.8129687599999995,6.795156260000001
40.0,8.86070316,6.82269534
40.0,9.90054696,6.86050788
40.0,10.958828200000001,6.90441412
40.0,12.025390699999999,6.95707032
40.0,13.097109499999998,7.02847656
40.0,14.1470313,7.115937440000001
40.0,15.2232813,7.2093749
40.0,16.2767187,7.29632802
40.0,17.324531200000003,7.391484320000001
40.0,18.374687599999998,7.48664062
40.0,19.453281399999998,7.5782813
40.0,20.4964064,7.669218840000001
40.0,21.5175002,7.7785939200000005
40.0,22.536875200000004,7.8957814200000005
40.0,23.54375,8.025625080000001
40.0,24.5476562,8.1603907
40.0,25.5710936,8.3039063
40.0,26.6134374,8.4557031
40.0,27.625937399999998,8.6041406
40.0,28.432187399999997,8.7321094
