time,pressure_set_point,pressure_predicted,error,delta_error,frequency,delta_frequency,pt_k_1,pt_k_2,angle_set_point,angle,angle_error,model,time
2024-04-20 11:08:12.916937,6.0,6.502149287446761,-0.5021492874467608,0.0174272516906262,30.0,-0.006042389230256793,6.519576539137387,6.537516187960195,30.0,31.1966303887423,1.3801222724104854,MLP,2024-04-20 11:08:12.916937
2024-04-20 11:08:14.158259,6.0,6.485227965042329,-0.4852279650423288,0.016921322404432004,30.0,3.2581668443262595e-18,6.502149287446761,6.519576539137387,30.0,29.861613405253493,-0.2853728473621473,MLP,2024-04-20 11:08:14.158259
2024-04-20 11:08:14.670465,6.0,6.468791731087017,-0.4687917310870171,0.016436233955311685,30.0,3.2328210169566607e-18,6.485227965042329,6.502149287446761,30.0,28.802399238617642,-1.255819324393027,MLP,2024-04-20 11:08:14.670465
2024-04-20 11:08:15.167368,6.0,6.452831961786174,-0.452831961786174,0.015959769300843085,30.0,3.2097749920337474e-18,6.468791731087017,6.485227965042329,30.0,29.588611375368465,-0.6629878341761035,MLP,2024-04-20 11:08:15.167368
2024-04-20 11:08:15.671941,6.0,6.4373299722513915,-0.4373299722513915,0.015501989534782545,30.0,1.2903821054619054e-17,6.452831961786174,6.468791731087017,30.0,29.115304863468097,-1.174975597191441,MLP,2024-04-20 11:08:15.671941
2024-04-20 11:08:16.208141,6.0,6.42227785733757,-0.42227785733757006,0.015052114913821413,30.0,3.1683514339060223e-18,6.4373299722513915,6.452831961786174,30.0,30.01612764484025,-0.08821125289409437,MLP,2024-04-20 11:08:16.208141
2024-04-20 11:08:17.186946,6.0,6.4076569321563,-0.40765693215629994,0.014620925181270117,30.0,3.1496605780830293e-18,6.42227785733757,6.4373299722513915,30.0,30.752554888802305,0.7118561676618675,MLP,2024-04-20 11:08:17.186946
2024-04-20 11:08:17.700094,6.0,6.393460010212039,-0.39346001021203936,0.014196921944260588,30.0,1.268035644117405e-17,6.4076569321563,6.42227785733757,30.0,30.192919686174204,-0.04367615793608337,MLP,2024-04-20 11:08:17.700094
2024-04-20 11:08:18.208255,6.0,6.37967056256504,-0.37967056256503984,0.01378944764699952,30.0,1.261552932159215e-17,6.393460010212039,6.4076569321563,30.0,29.500514267882902,-0.6514423439104924,MLP,2024-04-20 11:08:18.208255
2024-04-20 11:08:18.710086,6.0,6.366279965420651,-0.36627996542065144,0.013390597144388394,30.0,3.1021816340410272e-18,6.37967056256504,6.393460010212039,30.0,29.4490081537355,-0.7222803551633987,MLP,2024-04-20 11:08:18.710086
2024-04-20 11:08:19.719854,6.0,6.353274564437341,-0.3532745644373412,0.013005400983310267,30.0,3.0884996535446285e-18,6.366279965420651,6.37967056256504,30.0,29.007778671547825,-1.0093416169680474,MLP,2024-04-20 11:08:19.719854
2024-04-20 11:08:20.269558,6.0,6.340645017170906,-0.3406450171709059,0.012629547266435281,30.0,3.0757349086252194e-18,6.353274564437341,6.366279965420651,30.0,29.468112334963017,-0.8047535665455356,MLP,2024-04-20 11:08:20.269558
2024-04-20 11:08:21.339242,6.0,6.328378387929368,-0.3283783879293676,0.012266629241538318,30.0,3.0640990397288716e-18,6.340645017170906,6.353274564437341,30.0,29.082781156687176,-1.1263527484648215,MLP,2024-04-20 11:08:21.339242
2024-04-20 11:08:21.854233,6.0,6.31646677156763,-0.31646677156763037,0.01191161636173721,30.0,3.0528838748887896e-18,6.328378387929368,6.340645017170906,30.0,29.897279069507437,-0.3871236265480462,MLP,2024-04-20 11:08:21.854233
2024-04-20 11:08:22.365828,6.0,6.304897951043271,-0.3048979510432712,0.011568820524359147,30.0,3.042952145167736e-18,6.31646677156763,6.328378387929368,30.0,30.139006624008992,0.2395007232548707,MLP,2024-04-20 11:08:22.365828
2024-04-20 11:08:22.862688,6.0,6.293662583912086,-0.2936625839120861,0.011235367131185114,30.0,3.0334624947264197e-18,6.304897951043271,6.31646677156763,30.0,29.32486825301478,-0.8865655365167058,MLP,2024-04-20 11:08:22.862688
2024-04-20 11:08:23.404478,6.0,6.282752046379422,-0.2827520463794224,0.010910537532663689,30.0,-1.541062762823936e-17,6.293662583912086,6.304897951043271,30.0,30.613087420222808,0.8785163766642548,MLP,2024-04-20 11:08:23.404478
2024-04-20 11:08:24.409526,6.0,6.272154840052414,-0.27215484005241386,0.010597206327008557,30.0,3.016553559639976e-18,6.282752046379422,6.293662583912086,30.0,29.501762616280274,-0.3448343527711515,MLP,2024-04-20 11:08:24.409526
2024-04-20 11:08:24.918018,6.0,6.262217354016208,-0.26221735401620805,0.009937486036205812,30.0,3.0091250871780673e-18,6.272154840052414,6.282752046379422,30.0,29.49232559156985,-0.36388276970859224,MLP,2024-04-20 11:08:24.918018
2024-04-20 11:08:25.422289,6.0,6.252628413013816,-0.25262841301381567,0.009588941002392382,30.0,3.002208388380167e-18,6.262217354016208,6.272154840052414,30.0,31.103420436597176,1.2734226250869511,MLP,2024-04-20 11:08:25.422289
2024-04-20 11:08:25.949275,6.0,6.24359498811686,-0.2435949881168602,0.009033424896955466,30.0,2.996260100689958e-18,6.252628413013816,6.262217354016208,30.0,29.645944980826087,-0.065444764408916,MLP,2024-04-20 11:08:25.949275
2024-04-20 11:08:26.936422,6.0,6.234910108253717,-0.23491010825371728,0.008684879863142925,30.0,2.9905635031633143e-18,6.24359498811686,6.252628413013816,30.0,30.71233675460315,0.8248838297942669,MLP,2024-04-20 11:08:26.936422
2024-04-20 11:08:27.447421,6.0,6.226703848993706,-0.2267038489937061,0.008206259260011173,30.0,2.985200710822472e-18,6.234910108253717,6.24359498811686,30.0,30.769740248752996,1.0085923968481367,MLP,2024-04-20 11:08:27.447421
2024-04-20 11:08:27.958949,6.0,6.218835355024194,-0.21883535502419438,0.007868493969511725,30.0,2.9805960195462023e-18,6.226703848993706,6.234910108253717,30.0,30.72372190231159,0.6703991059843339,MLP,2024-04-20 11:08:27.958949
2024-04-20 11:08:28.462271,6.0,6.2113829591465946,-0.21138295914659455,0.007452395877599827,30.0,-1.516527011278683e-17,6.218835355024194,6.226703848993706,30.0,30.1101791015375,0.3016717261088253,MLP,2024-04-20 11:08:28.462271
2024-04-20 11:08:28.967969,6.0,6.204251080970192,-0.20425108097019162,0.007131878176402928,30.0,2.9723202047678783e-18,6.2113829591465946,6.218835355024194,30.0,29.362319366721124,-0.8414593413783216,MLP,2024-04-20 11:08:28.967969
2024-04-20 11:08:29.473299,6.0,6.197485714066457,-0.19748571406645699,0.0067653669037346376,30.0,2.9684967956862442e-18,6.204251080970192,6.2113829591465946,30.0,30.870016142590202,1.0748810218285811,MLP,2024-04-20 11:08:29.473299
2024-04-20 11:08:29.985804,6.0,6.191020024026846,-0.19102002402684626,0.0064656900396107275,30.0,-1.5108337781065718e-17,6.197485714066457,6.204251080970192,30.0,30.882356155467228,1.1647572929570806,MLP,2024-04-20 11:08:29.985804
2024-04-20 11:08:30.487124,6.0,6.184879163585758,-0.18487916358575784,0.006140860441088414,30.0,-1.5093249331274527e-17,6.191020024026846,6.197485714066457,30.0,30.901103448505168,0.7639079513061269,MLP,2024-04-20 11:08:30.487124
2024-04-20 11:08:30.993254,6.0,6.179016420522165,-0.17901642052216538,0.005862743063592468,30.0,2.959404849014993e-18,6.184879163585758,6.191020024026846,30.0,28.949836403262804,-1.3331172713629407,MLP,2024-04-20 11:08:30.993254
2024-04-20 11:08:31.499222,6.0,6.17344401187849,-0.17344401187849012,0.005572408643675253,30.0,2.9567279058933075e-18,6.179016420522165,6.184879163585758,30.0,30.825498494089864,0.8296499618760294,MLP,2024-04-20 11:08:31.499222
2024-04-20 11:08:32.004895,6.0,6.168126723826575,-0.16812672382657468,0.0053172880519154475,30.0,2.954178032263849e-18,6.17344401187849,6.179016420522165,30.0,31.004973156172774,0.9305859399803929,MLP,2024-04-20 11:08:32.004895
2024-04-20 11:08:32.505764,6.0,6.1630703055628535,-0.1630703055628535,0.005056418263721163,30.0,-1.5040757423085137e-17,6.168126723826575,6.17344401187849,30.0,29.81923917635895,-0.36914300558939317,MLP,2024-04-20 11:08:32.505764
2024-04-20 11:08:33.018206,6.0,6.158247448404264,-0.1582474484042642,0.004822857158589322,30.0,-1.5030967128774473e-17,6.1630703055628535,6.168126723826575,30.0,30.676675258833182,0.5344264184076657,MLP,2024-04-20 11:08:33.018206
2024-04-20 11:08:33.537562,6.0,6.153659589649916,-0.15365958964991577,0.004587858754348417,30.0,-1.5021665697689345e-17,6.158247448404264,6.1630703055628535,30.0,29.154912080814306,-0.8880988757886072,MLP,2024-04-20 11:08:33.537562
2024-04-20 11:08:34.529390,6.0,6.149285169813179,-0.1492851698131794,0.004374419836736365,30.0,-1.5012807707539406e-17,6.153659589649916,6.158247448404264,30.0,30.877473931888503,0.7991177871754225,MLP,2024-04-20 11:08:34.529390
2024-04-20 11:08:35.045098,6.0,6.145122751594949,-0.1451227515949487,0.004162418218230712,30.0,-1.5004388704655855e-17,6.149285169813179,6.153659589649916,30.0,28.947550420486017,-0.8994386103838217,MLP,2024-04-20 11:08:35.045098
2024-04-20 11:08:35.556209,6.0,6.141155087405919,-0.1411550874059193,0.003967664189029385,30.0,-1.4996372401238725e-17,6.145122751594949,6.149285169813179,30.0,29.355837944196843,-0.9252444456323872,MLP,2024-04-20 11:08:35.556209
2024-04-20 11:08:36.059702,6.0,6.137378583998322,-0.1373785839983217,0.003776503407597609,30.0,-1.4988750273241694e-17,6.141155087405919,6.145122751594949,30.0,29.34474766334345,-0.7860495136816468,MLP,2024-04-20 11:08:36.059702
2024-04-20 11:08:36.566973,6.0,6.133779587030625,-0.13377958703062465,0.0035989969676970546,30.0,-1.4982040007664207e-17,6.137378583998322,6.141155087405919,30.0,30.662614283898947,0.6722163460520996,MLP,2024-04-20 11:08:36.566973
2024-04-20 11:08:37.069849,6.0,6.130353065955949,-0.13035306595594864,0.0034265210746760033,30.0,-1.4976517200335904e-17,6.133779587030625,6.137378583998322,30.0,30.68218805026196,0.7917633292506352,MLP,2024-04-20 11:08:37.069849
2024-04-20 11:08:37.578854,6.0,6.127088959680533,-0.1270889596805329,0.0032641062754157346,30.0,-1.4971259955845903e-17,6.130353065955949,6.133779587030625,30.0,30.542455450776487,0.42399593812448444,MLP,2024-04-20 11:08:37.578854
2024-04-20 11:08:38.083830,6.0,6.123980081708837,-0.12398008170883656,0.0031088779716963444,30.0,-1.496625615628967e-17,6.127088959680533,6.130353065955949,30.0,31.115796363350363,1.4090882350863936,MLP,2024-04-20 11:08:38.083830
2024-04-20 11:08:38.589406,6.0,6.121019245545315,-0.12101924554531518,0.0029608361635213853,30.0,-1.496149374160055e-17,6.123980081708837,6.127088959680533,30.0,29.0570840832334,-0.8587345866393434,MLP,2024-04-20 11:08:38.589406
2024-04-20 11:08:39.094985,6.0,6.118274004248071,-0.11827400424807077,0.002745241297244405,30.0,-1.4957080811769234e-17,6.121019245545315,6.123980081708837,30.0,31.10105542692542,1.3168471106530077,MLP,2024-04-20 11:08:39.094985
2024-04-20 11:08:39.599841,6.0,6.115664587716579,-0.11566458771657917,0.002609416531491604,30.0,-1.4952888630517854e-17,6.118274004248071,6.121019245545315,30.0,30.752183929986863,0.9399857537105163,MLP,2024-04-20 11:08:39.599841
2024-04-20 11:08:40.116930,6.0,6.1132362708727594,-0.11323627087275945,0.0024283168438197222,30.0,-1.494898950701789e-17,6.115664587716579,6.118274004248071,30.0,28.88220627106138,-0.8466370570134671,MLP,2024-04-20 11:08:40.116930
2024-04-20 11:08:40.618402,6.0,6.110935873649597,-0.11093587364959667,0.0023003972231627756,30.0,-1.4945297657896828e-17,6.1132362708727594,6.115664587716579,30.0,30.15682089506199,0.011170883489239003,MLP,2024-04-20 11:08:40.618402
